doc_id,year,state_district,filing_type,last_name,first_name,prefix,suffix,filing_date,pdf_status,pdf_type,page_count,pdf_bytes,pdf_path,pdf_url
9114712,2018,ND01,X,Armstrong,Kelly,Hon.,,5/17/2019,stashed,image,1,33279,data/stashed/pdfs/2018/9114712.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9114712.pdf
10020701,2018,NM01,C,Arnold-Jones,Janice E.,,,5/15/2018,stashed,text,3,63043,data/stashed/pdfs/2018/10020701.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020701.pdf
30004546,2018,NM01,X,Arnold-Jones,Janice E.,,,5/22/2018,stashed,text,1,45292,data/stashed/pdfs/2018/30004546.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30004546.pdf
10024106,2018,CT04,C,Arora,Harry,,,7/11/2018,stashed,text,11,97827,data/stashed/pdfs/2018/10024106.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024106.pdf
10027693,2018,TX19,O,Arrington,Jodey Cook,Hon.,,8/13/2019,stashed,text,7,103922,data/stashed/pdfs/2018/10027693.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10027693.pdf
30005644,2018,TX19,X,Arrington,Jodey Cook,Hon.,,5/14/2019,stashed,text,1,45890,data/stashed/pdfs/2018/30005644.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30005644.pdf
10022495,2018,NE02,C,Ashford,Brad,,,5/14/2018,stashed,text,12,125511,data/stashed/pdfs/2018/10022495.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022495.pdf
10019782,2018,AL04,C,Auman,James  Lee,,,5/6/2018,stashed,text,2,59335,data/stashed/pdfs/2018/10019782.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10019782.pdf
10022390,2018,HI02,C,Austin,Anthony Tony,,,5/11/2018,stashed,text,2,58943,data/stashed/pdfs/2018/10022390.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022390.pdf
10023993,2018,IL12,C,Auxier,Randy,,,8/5/2018,stashed,text,3,66940,data/stashed/pdfs/2018/10023993.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023993.pdf
30004918,2018,IL12,X,Auxier,Randy,,,6/22/2018,stashed,text,1,44617,data/stashed/pdfs/2018/30004918.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30004918.pdf
9113434,2018,IA03,C,Axne,Cindy,,,5/16/2018,stashed,image,11,629959,data/stashed/pdfs/2018/9113434.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113434.pdf
10026804,2018,IA03,H,Axne,Cindy,Hon.,,5/6/2019,stashed,text,3,86946,data/stashed/pdfs/2018/10026804.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10026804.pdf
10020904,2018,MS03,C,Aycox,Kevin Michael,,,4/25/2018,stashed,text,2,55587,data/stashed/pdfs/2018/10020904.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020904.pdf
9113219,2018,,W,Ayyas,Shadi,,,,stashed,image,1,31003,data/stashed/pdfs/2018/9113219.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113219.pdf
10029982,2018,TX36,A,Babin,Brian,Hon.,,11/12/2019,stashed,text,11,122806,data/stashed/pdfs/2018/10029982.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10029982.pdf
10025905,2018,TX36,O,Babin,Brian,Hon.,,8/13/2019,stashed,text,11,121817,data/stashed/pdfs/2018/10025905.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10025905.pdf
30005188,2018,TX36,X,Babin,Brian,Hon.,,4/15/2019,stashed,text,1,45649,data/stashed/pdfs/2018/30005188.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30005188.pdf
9112846,2018,CA35,C,Baca,Joe,,,5/14/2018,stashed,image,6,212435,data/stashed/pdfs/2018/9112846.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9112846.pdf
10020169,2018,PA08,C,Bacher,Steve,,,4/15/2018,stashed,text,7,101789,data/stashed/pdfs/2018/10020169.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020169.pdf
10026713,2018,NE02,O,Bacon,Donald John,Hon.,,5/12/2019,stashed,text,4,89414,data/stashed/pdfs/2018/10026713.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10026713.pdf
10020113,2018,OH12,C,Bacon,Kevin,,,4/6/2018,stashed,text,3,85526,data/stashed/pdfs/2018/10020113.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020113.pdf
9112708,2018,,W,Badey,George J.,,III,,stashed,image,1,31747,data/stashed/pdfs/2018/9112708.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9112708.pdf
10020575,2018,FL18,C,Baer,Lauren Elizabeth,,,5/15/2018,stashed,text,11,119433,data/stashed/pdfs/2018/10020575.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020575.pdf
9114044,2018,IN04,C,Baird,James R.,Dr.,,10/4/2018,stashed,image,7,297186,data/stashed/pdfs/2018/9114044.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9114044.pdf
9115307,2018,IN04,O,Baird,James R.,Hon.,,8/19/2019,stashed,image,6,225583,data/stashed/pdfs/2018/9115307.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9115307.pdf
30005366,2018,IN04,X,Baird,James R.,Hon.,,5/7/2019,stashed,text,1,45417,data/stashed/pdfs/2018/30005366.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30005366.pdf
6439,2018,PA05,W,Balchunis,Mary Ellen,,,6/28/2018,stashed,text,1,43758,data/stashed/pdfs/2018/6439.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/6439.pdf
10024739,2018,OH12,C,Balderson,Troy,,,9/20/2018,stashed,text,2,80266,data/stashed/pdfs/2018/10024739.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024739.pdf
10027826,2018,OH12,O,Balderson,Troy,,,5/15/2019,stashed,text,2,80679,data/stashed/pdfs/2018/10027826.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10027826.pdf
10024305,2018,MA03,C,Ballinger,Jeffrey Daniel,Mr.,,8/1/2018,stashed,text,2,52887,data/stashed/pdfs/2018/10024305.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024305.pdf
9113846,2018,,W,Ballock,Thomas,,,,stashed,image,1,29616,data/stashed/pdfs/2018/9113846.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113846.pdf
10024676,2018,NY24,C,Balter,Dana,,,9/11/2018,stashed,text,2,82715,data/stashed/pdfs/2018/10024676.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024676.pdf
10027462,2018,IN03,O,Banks,James E.,Hon.,,5/14/2019,stashed,text,5,96929,data/stashed/pdfs/2018/10027462.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10027462.pdf
10027462,2018,IN03,O,Banks,James E.,Hon.,,5/14/2019,stashed,text,5,96929,data/stashed/pdfs/2018/10027462.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10027462.pdf
9113801,2018,NY27,D,Banks,James Paul,Mr.,,9/12/2018,stashed,image,1,30884,data/stashed/pdfs/2018/9113801.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113801.pdf
10022338,2018,TN01,C,Banyas,Mickie Lou,,,5/11/2018,stashed,text,2,61976,data/stashed/pdfs/2018/10022338.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022338.pdf
10020642,2018,CA07,C,Barash,Yona,,,5/14/2018,stashed,text,3,64512,data/stashed/pdfs/2018/10020642.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020642.pdf
10022689,2018,TN06,C,Barlow,Dawn,,,5/14/2018,stashed,text,3,66224,data/stashed/pdfs/2018/10022689.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022689.pdf
10019796,2018,TX14,C,Barnes,Levy Q.,Dr.,Jr.,1/29/2018,stashed,text,2,59116,data/stashed/pdfs/2018/10019796.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10019796.pdf
10020112,2018,OR03,A,Barnett,Charles Rand,,,4/4/2018,stashed,text,2,58701,data/stashed/pdfs/2018/10020112.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020112.pdf
10020106,2018,OR03,C,Barnett,Charles Rand,,,4/2/2018,stashed,text,2,58522,data/stashed/pdfs/2018/10020106.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020106.pdf
10023852,2018,NY25,C,Barnhart,Rachel,,,6/1/2018,stashed,text,2,58322,data/stashed/pdfs/2018/10023852.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023852.pdf
