Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Ball	Dan		C	CA36	2017	2/6/2018	10019850
	Ballock	Thomas		C	IN04	2017	12/13/2017	9112177
	Balter	Dana		C	NY24	2017	2/9/2018	10018976
	Balter	Dana		X	NY24	2017	10/16/2017	30003740
Hon.	Banks	James E.		O	IN03	2017	5/15/2018	10022483
Hon.	Banks	James E.		P	IN03	2017	7/6/2017	20007551
Hon.	Banks	James E.		P	IN03	2017	7/6/2017	20007551
Mr.	Banks	James Paul		D	NY27	2017	8/23/2017	9111672
	Barash	Yona		C	CA07	2017	10/13/2017	10019081
	Barkley	Michael James		C	CA10	2017	2/4/2017	10014509
	Barkley	Michael James		C	CA10	2017	5/16/2018	10023369
	Barkley	Michael James		X	CA10	2017	2/24/2017	30002721
Hon.	Barletta	Lou		O	PA11	2017	5/15/2018	10020577
Hon.	Barletta	Lou		P	PA11	2017	3/1/2017	20006832
Dr.	Barnes	Levy Q.	Jr.	C	TX14	2017	1/29/2018	10019795
Dr.	Barnes	Levy Q.	Jr.	D	TX14	2017	9/29/2017	9111831
Mr.	Barone	Roger Richard		D	TX03	2017	4/17/2017	9110636
	Baroness Von Behr	Irina		C	AZ09	2017	4/2/2018	10019431
	Baroness Von Behr	Irina		D	AZ09	2017	12/5/2017	9112161
Hon.	Barr	Garland "Andy"		A	KY06	2017	6/15/2018	9113415
Hon.	Barr	Garland "Andy"		O	KY06	2017	5/15/2018	9112858
	Barr	Robert		C	OH01	2017	11/22/2017	9112091
Hon.	Barragan	Nanette		O	CA44	2017	5/12/2018	10021573
	Barrett	Michael		C	AR04	2017	8/5/2017	10018432
	Barrett	Michael		D	AR04	2017	8/14/2017	9111671
	Barrett	Michael		W	AR04	2017	4/20/2018	6349
	Bartlett	John		C	NJ11	2017	11/5/2017	10018397
	Bartlett	John		D	NJ11	2017	1/11/2018	9112264
	Bartlett	John		X	NJ11	2017	8/15/2017	30003641
Hon.	Barton	Joe		O	TX06	2017	6/14/2018	9113404
	Barzee Flores	Mary		C	FL27	2017	10/21/2017	10019114
	Barzee Flores	Mary		X	FL27	2017	9/18/2017	9111790
Hon.	Bass	Karen		O	CA37	2017	8/13/2018	10021489
Hon.	Bass	Karen		X	CA37	2017	5/3/2018	30004100
Hon.	Bass	Karen		X	CA37	2017	7/26/2018	30004959
	Bassilian	Ron		C	CA37	2017	11/5/2017	10017819
	Bateson	Regina		C	CA04	2017	7/10/2017	10018058
	Batie	Rontel		C	FL05	2017	2/27/2018	10019964
	Battista	Lisa		C	CA10	2017	6/22/2017	10017898
	Baxter	Ralph		C	WV01	2017	11/30/2017	10018962
	Baxter	Ralph		X	WV01	2017	10/16/2017	30003736
	Beal	Brent		C	TX01	2017	9/13/2017	10017849
	Beal	Brent		X	TX01	2017	7/12/2017	30003535
	Beals	Jeffrey		A	NY19	2017	4/3/2018	10020105
	Beals	Jeffrey		C	NY19	2017	6/19/2017	10017863
Hon.	Beatty	Joyce		A	OH03	2017	7/6/2018	10024115
