Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	ACKERMAN	GARY L.		O	NY05	2011	5/12/2011	8201256
HONORABLE	ADAMS	SANDY		O	FL24	2011	5/13/2011	8201257
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2011	6/15/2011	8203068
HONORABLE	ADLER	JOHN		T	NJ03	2011	2/24/2011	8200278
HONORABLE	ADLER	JOHN		T	NJ03	2011	2/3/2011	8200185
HONORABLE	AKIN	W. TODD		A	MO02	2011	7/19/2011	8203404
HONORABLE	AKIN	W. TODD		O	MO02	2011	5/13/2011	8201258
HONORABLE	ALEXANDER	RODNEY		O	LA05	2011	5/11/2011	8201259
	ALLEN	RICHARD W.		O	GA12	2011	2/15/2012	8207941
HONORABLE	ALTMIRE	JASON		O	PA04	2011	5/13/2011	8201260
HONORABLE	AMASH	JUSTIN A.		O	MI03	2011	5/23/2011	8201261
	ANDERSON	JASON EDWARD		W	AL05	2011	1/30/2012	8206976
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2011	5/13/2011	8201262
HONORABLE	ANDREWS	ROBERT E.		A	NJ01	2011	7/7/2011	8203258
HONORABLE	ARCURI	MICHAEL A.		T	NY24	2011	2/7/2011	8200212
HONORABLE	AUSTRIA	STEVE		O	OH07	2011	5/24/2011	8201263
HONORABLE	AUSTRIA	STEVE		A	OH07	2011	7/21/2011	8203436
HONORABLE	BACA	JOE		O	CA43	2011	5/13/2011	8201513
HONORABLE	BACHMANN	MICHELE		O	MN06	2011	8/12/2011	8203670
HONORABLE	BACHUS	SPENCER		A	AL06	2011	6/15/2011	8203069
HONORABLE	BACHUS	SPENCER		O	AL06	2011	5/16/2011	8201514
HONORABLE	BACHUS	SPENCER		A	AL06	2011	10/4/2011	8204064
HONORABLE	BAIRD	BRIAN		T	WA03	2011	2/11/2011	9100042
HONORABLE	BALDWIN	TAMMY		O	WI02	2011	5/16/2011	8201515
	BAQAI	FARAH S.		O	IL03	2011	2/27/2012	8207946
HONORABLE	BARLETTA	LOU		A	PA11	2011	7/8/2011	8203259
HONORABLE	BARLETTA	LOU		O	PA11	2011	5/13/2011	8201516
HONORABLE	BARRETT	J. GRESHAM		T	SC03	2011	2/4/2011	8200213
HONORABLE	BARROW	JOHN		O	GA12	2011	5/16/2011	8201517
HONORABLE	BARTLETT	ROSCOE G.		O	MD06	2011	6/15/2011	8203070
HONORABLE	BARTON	JOE		O	TX06	2011	5/16/2011	8201518
HONORABLE	BASS	CHARLES F.		A	NH02	2011	7/27/2011	8203465
HONORABLE	BASS	CHARLES F.		O	NH02	2011	5/16/2011	8201519
HONORABLE	BASS	KAREN		O	CA33	2011	5/19/2011	8201520
HONORABLE	BASS	KAREN		A	CA33	2011	4/19/2012	8204945
HONORABLE	BEAN	MELISSA L.		T	IL08	2011	3/10/2011	8200328
	BEATTY	JOYCE		O	OH03	2011	1/6/2012	8207845
	BEATTY	JOYCE		A	OH03	2011	1/2/2013	8209582
HONORABLE	BECERRA	XAVIER		A	CA31	2011	6/14/2012	8206378
HONORABLE	BECERRA	XAVIER		O	CA31	2011	6/14/2011	8203003
	BEMBRY	LEONARD LEE		O	FL02	2011	1/5/2012	8207846
HONORABLE	BENISHEK	DAN		O	MI01	2011	5/12/2011	8201521
HONORABLE	BENISHEK	DAN		A	MI01	2011	7/14/2011	8203349
	BENTIVOLIO	KERRY		O	MI11	2011	1/9/2012	8207847
HONORABLE	BERG	RICK		A	ND00	2011	6/14/2012	8206310
HONORABLE	BERG	RICK		O	ND00	2011	6/14/2011	8202988
HONORABLE	BERKLEY	SHELLEY		O	NV01	2011	5/13/2011	8203400
HONORABLE	BERMAN	HOWARD L.		O	CA28	2011	6/20/2011	8203119
HONORABLE	BERRY	MARION		T	AR01	2011	2/2/2011	8200186
HONORABLE	BIGGERT	JUDY		O	IL13	2011	6/14/2011	8203004
HONORABLE	BILBRAY	BRIAN P.		O	CA50	2011	6/15/2011	8203071
HONORABLE	BILIRAKIS	GUS M.		O	FL09	2011	5/13/2011	8201645
HONORABLE	BISHOP	ROB		O	UT01	2011	5/16/2011	8201647
HONORABLE	BISHOP	SANFORD D.	JR.	O	GA02	2011	5/13/2011	8201646
HONORABLE	BISHOP	TIMOTHY H.		O	NY01	2011	5/3/2011	8201648
HONORABLE	BLACK	DIANE		O	TN06	2011	6/10/2011	8202989
HONORABLE	BLACKBURN	MARSHA		O	TN07	2011	5/25/2011	8201649
HONORABLE	BLUMENAUER	EARL		O	OR03	2011	5/24/2011	8201650
HONORABLE	BOCCIERI	JOHN A.		T	OH16	2011	2/11/2011	9100043
HONORABLE	BOEHNER	JOHN A.		O	OH08	2011	5/13/2011	8201651
HONORABLE	BONNER	JO		A	AL01	2011	5/10/2012	8205059
HONORABLE	BONNER	JO		O	AL01	2011	5/16/2011	8201652
HONORABLE	BONO MACK	MARY		O	CA45	2011	5/13/2011	8202640
HONORABLE	BORDALLO	MADELEINE Z.		O	GU00	2011	5/11/2011	8201653
HONORABLE	BOREN	DAN		O	OK02	2011	5/16/2011	8201654
HONORABLE	BOREN	DAN		A	OK02	2011	7/20/2012	8206657
HONORABLE	BOSWELL	LEONARD L.		O	IA03	2011	5/12/2011	8201655
HONORABLE	BOUCHER	RICK		T	VA09	2011	1/12/2011	8200094
HONORABLE	BOUSTANY	CHARLES W.	JR.	O	LA07	2011	5/13/2011	8201656
HONORABLE	BOYD	ALLEN		T	FL02	2011	2/7/2011	8200214
HONORABLE	BRADY	KEVIN		O	TX08	2011	7/6/2011	8203260
HONORABLE	BRADY	ROBERT A.		O	PA01	2011	5/16/2011	8201657
HONORABLE	BRALEY	BRUCE L.		A	IA01	2011	6/15/2011	8203044
HONORABLE	BRALEY	BRUCE L.		O	IA01	2011	5/16/2011	8201658
	BRIDENSTINE	JAMES FREDERICK		A	OK01	2011	12/31/2012	8209600
	BRIDENSTINE	JAMES FREDERICK		O	OK01	2011	3/8/2012	8207988
HONORABLE	BRIGHT	BOBBY		T	AL02	2011	1/24/2011	8200141
HONORABLE	BROOKS	MO		O	AL05	2011	5/13/2011	8201659
HONORABLE	BROUN	PAUL C.		A	GA10	2011	1/2/2014	8213740
HONORABLE	BROUN	PAUL C.		O	GA10	2011	8/12/2011	8203664
HONORABLE	BROWN	CORRINE		O	FL03	2011	5/16/2011	8201660
HONORABLE	BROWN	CORRINE		A	FL03	2011	7/20/2011	8203405
HONORABLE	BROWN	CORRINE		A	FL03	2011	7/15/2011	8203360
HONORABLE	BROWN	HENRY		T	SC01	2011	5/12/2011	8200670
	BROWN	MARVEN WADE		D	TX11	2011	2/1/2012	8207624
HONORABLE	BROWN-WAITE	GINNY		T	FL05	2011	5/6/2011	8200645
HONORABLE	BUCHANAN	VERN		O	FL13	2011	5/13/2011	8203114
HONORABLE	BUCHANAN	VERN		A	FL13	2011	9/13/2011	8203947
HONORABLE	BUCSHON	LARRY		O	IN08	2011	5/16/2011	8201816
HONORABLE	BUERKLE	ANN MARIE		O	NY25	2011	8/15/2011	8203674
HONORABLE	BURGESS	MICHAEL C.		A	TX26	2011	6/8/2012	8206296
HONORABLE	BURGESS	MICHAEL C.		O	TX26	2011	6/24/2011	8203168
HONORABLE	BURTON	DAN		O	IN05	2011	8/5/2011	8203584
HONORABLE	BUTTERFIELD	G. K.		A	NC01	2011	8/11/2011	8203643
HONORABLE	BUTTERFIELD	G. K.		O	NC01	2011	5/12/2011	8201817
HONORABLE	BUYER	STEVE		T	IN04	2011	1/13/2011	8200119
HONORABLE	CALVERT	KEN		O	CA44	2011	5/12/2011	8202480
HONORABLE	CAMP	DAVE		O	MI04	2011	6/15/2011	8203047
