Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Abraham	Ralph Lee		C	LA05	2014	8/15/2014	8216342
	Abraham	Ralph Lee		X	LA05	2014	6/27/2014	8215854
Hon.	Abraham	Ralph Lee		A	LA05	2014	5/16/2016	10011876
Hon.	Abraham	Ralph Lee		A	LA05	2014	6/25/2018	9113459
Hon.	Abraham	Ralph Lee		A	LA05	2014	6/26/2018	10023849
Hon.	Abraham	Ralph Lee		C	LA05	2014	5/20/2015	9106619
Hon.	Abraham	Ralph Lee		H	LA05	2014	5/26/2015	10007178
	Abrahams	Kevan		C	NY04	2014	3/7/2014	9105068
	Adame	Marshall Richard		C	NC03	2014	1/21/2014	10000014
	Adams	Alma Shealey		A	NC12	2014	12/11/2014	9105766
	Adams	Alma Shealey		C	NC12	2014	5/20/2014	8215308
Hon.	Adams	Alma Shealey		H	NC12	2014	5/13/2015	10007003
	Adams	Steve		C	CA41	2014	8/21/2014	10004059
	Adams	Thomas A.		C	SC05	2014	4/28/2014	10000984
	Adcock	Carson Dee		C	PA13	2014	5/17/2014	10002692
	Addivinola	Frank John	Jr	W	MA05	2014		8216386
Hon.	Aderholt	Robert B.		O	AL04	2014	5/14/2015	10006023
	Aguilar	Pete		C	CA31	2014	5/15/2014	8215088
Hon.	Aguilar	Pete		A	CA31	2014	4/22/2015	9106346
Hon.	Aguilar	Pete		H	CA31	2014	5/7/2015	10006329
	Aiken	Clayton Clay		C	NC02	2014	4/16/2014	8214498
	Alao	Samuel		D	MO05	2014	4/24/2014	8214559
	Alas	Arturo E.	III	C	CA32	2014	5/8/2014	8214734
	Alas	Arturo E.	III	D	CA32	2014		8214190
	Allen	Richard W.		C	GA12	2014	4/23/2014	8214552
Hon.	Allen	Richard W.		A	GA12	2014	5/13/2015	9106442
Hon.	Allen	Richard W.		A	GA12	2014	9/9/2016	9109994
Hon.	Allen	Richard W.		H	GA12	2014	5/22/2015	9107064
