Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	ABERCROMBIE	NEIL		A	HI01	2009	6/29/2009	8142909
HONORABLE	ABERCROMBIE	NEIL		O	HI01	2009	5/15/2009	8140068
HONORABLE	ACKERMAN	GARY L.		A	NY05	2009	7/27/2009	8143056
HONORABLE	ACKERMAN	GARY L.		A	NY05	2009	12/4/2009	8143701
HONORABLE	ACKERMAN	GARY L.		O	NY05	2009	5/15/2009	8140069
HONORABLE	ADERHOLT	ROBERT B.		A	AL04	2009	11/4/2009	8143571
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2009	5/15/2009	8140070
HONORABLE	ADLER	JOHN H.		A	NJ03	2009	9/9/2009	8143279
HONORABLE	ADLER	JOHN H.		O	NJ03	2009	5/14/2009	8140071
HONORABLE	AKIN	W. TODD		A	MO02	2009	9/15/2009	8143342
HONORABLE	AKIN	W. TODD		O	MO02	2009	5/14/2009	8140072
HONORABLE	ALEXANDER	RODNEY		O	LA05	2009	5/14/2009	8140073
HONORABLE	ALLEN	THOMAS H.		T	ME01	2009	2/19/2009	8139728
HONORABLE	ALTMIRE	JASON		O	PA04	2009	5/14/2009	8140074
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2009	5/13/2009	8140075
HONORABLE	ARCURI	MICHAEL A.		A	NY24	2009	6/15/2010	8147820
HONORABLE	ARCURI	MICHAEL A.		O	NY24	2009	5/14/2009	8140076
HONORABLE	AUSTRIA	STEVE		O	OH07	2009	5/15/2009	8140077
HONORABLE	BACA	JOE		A	CA43	2009	6/30/2009	8142910
HONORABLE	BACA	JOE		O	CA43	2009	5/15/2009	8140078
HONORABLE	BACHMANN	MICHELE		O	MN06	2009	6/26/2009	8142829
HONORABLE	BACHUS	SPENCER		A	AL06	2009	6/15/2009	8142781
HONORABLE	BACHUS	SPENCER		O	AL06	2009	5/15/2009	8140079
HONORABLE	BAIRD	BRIAN		O	WA03	2009	5/15/2009	8140080
HONORABLE	BALDWIN	TAMMY		O	WI02	2009	5/15/2009	8140081
HONORABLE	BARRETT	J. GRESHAM		O	SC03	2009	5/14/2009	8140084
HONORABLE	BARROW	JOHN		O	GA12	2009	5/15/2009	8140082
HONORABLE	BARTLETT	ROSCOE G.		O	MD06	2009	5/14/2009	8140085
HONORABLE	BARTON	JOE		O	TX06	2009	5/15/2009	8140083
HONORABLE	BEAN	MELISSA L.		O	IL08	2009	5/15/2009	8140086
HONORABLE	BECERRA	XAVIER		O	CA31	2009	6/15/2009	8142782
HONORABLE	BERKLEY	SHELLEY		A	NV01	2009	5/19/2009	8140088
HONORABLE	BERKLEY	SHELLEY		A	NV01	2009	4/22/2010	8144196
HONORABLE	BERKLEY	SHELLEY		O	NV01	2009	5/15/2009	8140087
HONORABLE	BERMAN	HOWARD L.		A	CA28	2009	12/3/2009	8143702
HONORABLE	BERMAN	HOWARD L.		O	CA28	2009	7/13/2009	8142995
HONORABLE	BERRY	MARION		A	AR01	2009	6/11/2009	8142726
HONORABLE	BERRY	MARION		A	AR01	2009	6/23/2009	8142830
HONORABLE	BERRY	MARION		A	AR01	2009	6/5/2009	8142470
HONORABLE	BERRY	MARION		O	AR01	2009	5/15/2009	8140089
HONORABLE	BIGGERT	JUDY		A	IL13	2009	6/4/2009	8142061
HONORABLE	BIGGERT	JUDY		O	IL13	2009	5/15/2009	8140090
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2009	4/27/2011	8200583
HONORABLE	BILBRAY	BRIAN P.		O	CA50	2009	5/14/2009	8140091
HONORABLE	BILIRAKIS	GUS M.		A	FL09	2009	5/12/2010	8144303
HONORABLE	BILIRAKIS	GUS M.		O	FL09	2009	5/13/2009	8140092
HONORABLE	BISHOP	ROB		O	UT01	2009	5/15/2009	8140093
HONORABLE	BISHOP	SANFORD D.	JR.	O	GA02	2009	5/13/2009	8140094
HONORABLE	BISHOP	TIMOTHY H.		A	NY01	2009	6/3/2009	8142062
HONORABLE	BISHOP	TIMOTHY H.		O	NY01	2009	5/13/2009	8140095
HONORABLE	BLACKBURN	MARSHA		O	TN07	2009	5/15/2009	8140096
HONORABLE	BLUMENAUER	EARL		O	OR03	2009	5/21/2009	8140097
HONORABLE	BLUNT	ROY		O	MO07	2009	5/15/2009	8140098
HONORABLE	BOCCIERI	JOHN A.		A	OH16	2009	5/19/2010	8144343
HONORABLE	BOCCIERI	JOHN A.		O	OH16	2009	5/15/2009	8140099
HONORABLE	BOEHNER	JOHN A.		O	OH08	2009	5/13/2009	8140100
HONORABLE	BONNER	JO		A	AL01	2009	7/16/2009	8143036
HONORABLE	BONNER	JO		O	AL01	2009	5/15/2009	8140101
HONORABLE	BONO MACK	MARY		O	CA45	2009	5/13/2009	8142644
HONORABLE	BOOZMAN	JOHN		O	AR03	2009	5/15/2009	8140103
HONORABLE	BORDALLO	MADELEINE Z.		O	GU00	2009	5/12/2009	8140104
HONORABLE	BOREN	DAN		O	OK02	2009	5/14/2009	8140105
HONORABLE	BOSWELL	LEONARD L.		O	IA03	2009	5/13/2009	8140106
HONORABLE	BOUCHER	RICK		O	VA09	2009	5/15/2009	8140102
HONORABLE	BOUSTANY	CHARLES W.	JR.	A	LA07	2009	6/5/2009	8142471
HONORABLE	BOUSTANY	CHARLES W.	JR.	O	LA07	2009	5/15/2009	8140112
HONORABLE	BOYD	ALLEN		A	FL02	2009	5/24/2010	8144441
HONORABLE	BOYD	ALLEN		O	FL02	2009	5/15/2009	8140113
HONORABLE	BOYDA	NANCY E.		T	KS02	2009	3/13/2009	8139813
HONORABLE	BRADY	KEVIN		O	TX08	2009	6/16/2009	8142783
HONORABLE	BRADY	KEVIN		A	TX08	2009	1/11/2010	8143835
HONORABLE	BRADY	ROBERT A.		O	PA01	2009	5/15/2009	8140107
HONORABLE	BRALEY	BRUCE L.		O	IA01	2009	5/15/2009	8140108
HONORABLE	BRIGHT	BOBBY		A	AL02	2009	11/9/2009	8143594
HONORABLE	BRIGHT	BOBBY		O	AL02	2009	5/15/2009	8140109
