Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Abraham	Ralph Lee		A	LA05	2016	6/26/2018	10023807
Hon.	Abraham	Ralph Lee		O	LA05	2016	5/14/2017	10015144
Mr.	Accavitti	Frank	Jr.	C	MI10	2016	6/14/2016	10011459
Mr.	Accavitti	Frank	Jr.	X	MI10	2016	5/23/2016	30002320
	Achadjian	Khatchik		X	CA24	2016	5/13/2016	30001873
	Acker	Brandon W.		C	NC07	2016	5/17/2016	10012501
	Ackley	Gordon P.		C	VI00	2016	7/13/2016	9109643
	Ackley	Gordon P.		D	VI00	2016	7/13/2016	40000610
Hon.	Adams	Alma Shealey		O	NC12	2016	5/4/2017	10016059
	Adams	Desmund Douglas		C	IA03	2016	11/21/2016	10014276
	Adams	Eddie	Jr	C	FL14	2016	5/17/2016	9109370
	Adams	Sandy		W	FL06	2016	5/3/2016	6174
Mr.	Adams	Scott Michael		C	CA38	2016	4/24/2016	10010409
Hon.	Aderholt	Robert B.		A	AL04	2016	9/15/2017	9111804
Hon.	Aderholt	Robert B.		O	AL04	2016	8/11/2017	10015775
Hon.	Aderholt	Robert B.		X	AL04	2016	5/12/2017	30003045
	Adkins	Alexander Edward Mr		C	HI01	2016	6/11/2016	10013019
	Adkins	Alexander Edward Mr		W		2016		9109516
	Adkins	Alexander Edward Mr		W	HI01	2016	6/27/2016	6198
Hon.	Aguilar	Pete		O	CA31	2016	5/2/2017	10015597
Mr.	Alarcon	Richard Anthony		C	CA29	2016	5/9/2016	10011288
	Albarran	Charlene M.		C	UT02	2016	5/10/2016	10011247
	Albertson	Ed		C	OH12	2016	5/24/2016	9109047
	Aleong	Kevin		D	NY27	2016	7/13/2016	40000613
	Aleong	Kevin		D	NY27	2016	7/15/2016	9109674
	Allan	Seth		A	OR05	2016	2/28/2016	10009671
	Allan	Seth		C	OR05	2016	2/28/2016	10009642
	Allen	Jason Edward		C	MI01	2016	5/16/2016	10010550
Hon.	Allen	Richard W.		O	GA12	2016	5/17/2017	10016015
Hon.	Allen	Richard W.		X	GA12	2016	5/11/2017	30003028
