Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Abraham	Ralph Lee		A	LA05	2015	6/26/2018	10023848
Hon.	Abraham	Ralph Lee		O	LA05	2015	5/16/2016	10010992
	Achadjian	Katchik		D	CA24	2015	5/18/2015	9106551
	Achadjian	Khatchik		C	CA24	2015	9/15/2015	9107624
	Achadjian	Khatchik		X	CA24	2015	6/22/2015	30001522
Hon.	Adams	Alma Shealey		O	NC12	2015	4/26/2016	10010483
	Adams	Boyce		C	MS01	2015	4/13/2015	9106272
	Adams	David Andrew		D	FL27	2015	2/3/2016	9108238
	Adams	Desmund Douglas		C	IA03	2015	7/31/2015	10008330
	Adams	Sandy		C	FL06	2015	7/15/2015	9107284
Hon.	Aderholt	Robert B.		A	AL04	2015	3/31/2017	10014569
Hon.	Aderholt	Robert B.		O	AL04	2015	8/14/2016	10010606
Hon.	Aderholt	Robert B.		X	AL04	2015	5/23/2016	30002242
	Adler	Amber Lashelle		W	NY11	2015		9106902
Hon.	Aguilar	Pete		A	CA31	2015	9/7/2016	10013970
Hon.	Aguilar	Pete		O	CA31	2015	5/12/2016	10010661
	Albarran	Charlene M.		C	UT02	2015	3/16/2016	10009737
	Albarran	Charlene M.		X	UT02	2015	12/21/2015	9108067
Hon.	Allen	Richard W.		A	GA12	2015	9/9/2016	9109993
Hon.	Allen	Richard W.		O	GA12	2015	5/13/2016	9109060
Hon.	Amash	Justin		O	MI03	2015	5/16/2016	10012062
Hon.	Amodei	Mark E.		O	NV02	2015	4/20/2016	10010217
	Anderson	David M.		C	MD08	2015	10/22/2015	9107775
	Anderson	David M.		X	MD08	2015	9/17/2015	9107623
	Anderson	Stephanie Ms		D	FL23	2015	2/3/2016	9108239
	Ansel	Jeffrey		C	TX13	2015	3/2/2016	10009692
	Anthony	Malcolm		C	FL06	2015	1/20/2016	10009453
	Appleby	Alexander E.		D	CA09	2015	3/16/2016	9108466
	Applegate	Doouglas Loren		X	CA49	2015	8/11/2015	30001612
	Applegate	Douglas Loren		C	CA49	2015	11/3/2015	10008370
	Armstrong-Stoner	Derek James		C	AZ08	2015	12/28/2015	10009342
	Armstrong-Stoner	Derek James		D	AZ08	2015	1/4/2016	40000420
	Arrington	Jodey Cook		C	TX19	2015	2/13/2016	10009542
	Ash	Jim		C	CA53	2015	12/16/2015	10009351
	Ashford	Brad		P	NE02	2015	3/24/2015	20002776
Hon.	Ashford	Brad		O	NE02	2015	5/16/2016	10010048
Hon.	Ashford	Brad		P	NE02	2015	4/30/2015	20002949
Hon.	Ashford	Brad		P	NE02	2015	4/30/2015	20002963
Hon.	Ashford	Brad		P	NE02	2015	4/30/2015	20002964
Hon.	Ashford	Brad		P	NE02	2015	5/29/2015	20003185
Hon.	Ashford	Brad		P	NE02	2015	7/8/2015	20003367
Hon.	Ashford	Brad		P	NE02	2015	8/3/2015	20003528
Hon.	Ashford	Brad		P	NE02	2015	8/4/2015	20003534
Hon.	Ashford	Brad		P	NE02	2015	9/2/2015	20003708
Hon.	Ashford	Brad		P	NE02	2015	10/27/2015	20003994
	Ashworth	Matthew		D	OH08	2015	5/15/2015	40000333
	Assini	Mark W.		C	NY25	2015	3/7/2016	10009707
	Atkinson	Jacquie		C	CA52	2015	7/7/2015	9107252
	Atkinson	Jacquie		X	CA52	2015	5/29/2015	9106913
Hon.	Babin	Brian		O	TX36	2015	8/13/2016	10011275
Hon.	Babin	Brian		P	TX36	2015	4/16/2015	9106294
Hon.	Babin	Brian		X	TX36	2015	5/19/2016	30002020
Hon.	Bachmann	Michele		T	MN06	2015	2/19/2015	9106040
