Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Corlew	Bob		C	TN06	2018	5/3/2018	10020622
	Abel	Kevin		C	GA06	2018	5/15/2018	10022395
Hon.	Abraham	Ralph Lee		O	LA05	2018	6/14/2019	10028498
Mr.	Abrams	John E.		W		2018		9114116
Dr.	Abrams	Marcia Karen		D	NC00	2018	10/11/2018	9114083
	Accavitti	Frank	Jr	C	MI10	2018	6/12/2018	10023933
	Achille	Carl H.		C	NY05	2018	5/23/2018	10022683
	Achille	Carl H.		X	NY05	2018	5/22/2018	30004423
	Adadi	Elizabeth		C	FL27	2018	5/15/2018	10023153
Hon.	Adams	Alma Shealey		O	NC12	2018	6/12/2019	10028482
	Adams	Denise Darcel		C	NC05	2018	6/15/2018	10023476
	Adams	Dion		W		2018		9112795
	Addis	Paul  David		W		2018		9112897
Hon.	Aderholt	Robert B.		O	AL04	2018	7/12/2019	10027108
Hon.	Aderholt	Robert B.		X	AL04	2018	5/15/2019	30005718
	Adia	Vanessa Michelle		C	TX12	2018	9/8/2018	10024652
Hon.	Aguilar	Pete		O	CA31	2018	4/23/2019	10026039
	Aguilera	Justin		C	CA19	2018	9/5/2018	10024608
	Aguilera	Justin		C	CA19	2018	9/20/2018	9113901
	Albertson	Ed		C	OH12	2018	4/17/2018	9112664
	Albro	Catherine		C	MI03	2018	9/5/2018	10024613
	Allen	Edward Charles		W		2018		9113930
	Allen	Kathleen		C	GA07	2018	5/8/2018	10021836
Hon.	Allen	Richard W.		O	GA12	2018	5/15/2019	10026208
	Allman	Michael		C	CA52	2018	5/15/2018	10023341
	Allocco	Patrick S.		C	NJ11	2018	5/13/2018	10020130
	Allred	Colin		C	TX32	2018	6/20/2018	10023291
	Allred	Colin		X	TX32	2018	6/6/2018	30004675
Hon.	Allred	Colin		A	TX32	2018	3/10/2019	10025285
Hon.	Allred	Colin		H	TX32	2018	6/16/2019	10028025
Hon.	Allred	Colin		X	TX32	2018	5/15/2019	30005820
Hon.	Amash	Justin		O	MI03	2018	5/15/2019	10027684
Hon.	Amash	Justin		P	MI03	2018	8/2/2018	20010021
Hon.	Amash	Justin		P	MI03	2018	11/13/2018	20010646
	Amason	Tommy Marrion	III	C	AL02	2018	2/2/2018	10019825
