Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	ABERCROMBIE	NEIL		T	HI01	2010	5/24/2010	8144403
HONORABLE	ACKERMAN	GARY L.		O	NY05	2010	5/17/2010	8146065
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2010	6/15/2010	8147714
HONORABLE	ADLER	JOHN H		O	NJ03	2010	5/19/2010	8146066
HONORABLE	AKIN	W. TODD		O	MO02	2010	5/13/2010	8146067
HONORABLE	ALEXANDER	RODNEY		O	LA05	2010	5/18/2010	8146068
HONORABLE	ALTMIRE	JASON		A	PA04	2010	6/28/2010	8147970
HONORABLE	ALTMIRE	JASON		O	PA04	2010	5/13/2010	8146069
HONORABLE	ANDREWS	ROBERT E.		O	NJ01	2010	5/13/2010	8146070
HONORABLE	ARCURI	MICHAEL A.		O	NY24	2010	6/15/2010	8147746
HONORABLE	AUSTRIA	STEVE		O	OH07	2010	5/17/2010	8146071
HONORABLE	BACA	JOE		O	CA43	2010	5/12/2010	8147616
HONORABLE	BACHMANN	MICHELE		O	MN06	2010	6/16/2010	8147822
HONORABLE	BACHUS	SPENCER		O	AL06	2010	5/17/2010	8146743
HONORABLE	BACHUS	SPENCER		A	AL06	2010	10/5/2011	8204063
HONORABLE	BAIRD	BRIAN		A	WA03	2010	6/9/2010	8147604
HONORABLE	BAIRD	BRIAN		O	WA03	2010	5/13/2010	8146744
HONORABLE	BALDWIN	TAMMY		O	WI02	2010	5/17/2010	8146747
HONORABLE	BARRETT	J. GRESHAM		O	SC03	2010	5/14/2010	8146748
HONORABLE	BARROW	JOHN		O	GA12	2010	5/17/2010	8146749
HONORABLE	BARTLETT	ROSCOE G.		O	MD06	2010	5/12/2010	8146750
HONORABLE	BARTON	JOE		O	TX06	2010	5/14/2010	8146751
HONORABLE	BEAN	MELISSA L.		O	IL08	2010	5/17/2010	8146752
HONORABLE	BECERRA	XAVIER		O	CA31	2010	6/15/2010	8147716
HONORABLE	BERKLEY	SHELLEY		O	NV01	2010	5/17/2010	8146753
HONORABLE	BERMAN	HOWARD L.		O	CA28	2010	7/15/2010	8148163
HONORABLE	BERRY	MARION		O	AR01	2010	5/17/2010	8146754
HONORABLE	BIGGERT	JUDY		A	IL13	2010	7/2/2010	8148020
HONORABLE	BIGGERT	JUDY		A	IL13	2010	7/7/2010	8148021
HONORABLE	BIGGERT	JUDY		A	IL13	2010	8/12/2010	8148467
HONORABLE	BIGGERT	JUDY		A	IL13	2010	6/14/2011	8203010
HONORABLE	BIGGERT	JUDY		O	IL13	2010	5/14/2010	8146755
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2010	6/18/2010	8147867
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2010	6/18/2010	8147879
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2010	6/29/2010	8147981
HONORABLE	BILBRAY	BRIAN P.		A	CA50	2010	7/12/2010	8148073
HONORABLE	BILBRAY	BRIAN P.		O	CA50	2010	5/13/2010	8146756
HONORABLE	BILIRAKIS	GUS M.		A	FL09	2010	5/13/2011	9100147
HONORABLE	BILIRAKIS	GUS M.		O	FL09	2010	5/12/2010	8146757
HONORABLE	BISHOP	ROB		O	UT01	2010	5/17/2010	8146758
HONORABLE	BISHOP	SANFORD D.	JR.	O	GA02	2010	5/13/2010	8146759
HONORABLE	BISHOP	TIMOTHY H.		O	NY01	2010	5/12/2010	8146760
HONORABLE	BLACKBURN	MARSHA		O	TN07	2010	5/14/2010	8146761
HONORABLE	BLUMENAUER	EARL		A	OR03	2010	5/24/2011	9100193
HONORABLE	BLUMENAUER	EARL		O	OR03	2010	5/20/2010	8146762
HONORABLE	BLUNT	ROY		O	MO07	2010	5/14/2010	8146763
HONORABLE	BOCCIERI	JOHN A.		A	OH16	2010	7/2/2010	8148023
HONORABLE	BOCCIERI	JOHN A.		O	OH16	2010	5/17/2010	8146764
HONORABLE	BOEHNER	JOHN A.		O	OH08	2010	5/14/2010	8146765
HONORABLE	BONNER	JO		O	AL01	2010	5/17/2010	8146766
HONORABLE	BONO MACK	MARY		O	CA45	2010	5/13/2010	8147323
HONORABLE	BOOZMAN	JOHN		O	AR03	2010	5/13/2010	8146767
HONORABLE	BORDALLO	MADELEINE Z.		O	GU00	2010	5/12/2010	8146768
HONORABLE	BOREN	DAN		O	OK02	2010	5/17/2010	8146769
HONORABLE	BOSWELL	LEONARD L.		O	IA03	2010	5/13/2010	8146770
HONORABLE	BOUCHER	RICK		A	VA09	2010	5/19/2010	8146772
HONORABLE	BOUCHER	RICK		O	VA09	2010	5/13/2010	8146771
HONORABLE	BOUSTANY	CHARLES W.	JR.	O	LA07	2010	5/21/2010	8147109
HONORABLE	BOYD	ALLEN		A	FL02	2010	7/16/2010	8148183
HONORABLE	BOYD	ALLEN		O	FL02	2010	5/17/2010	8147110
HONORABLE	BRADY	KEVIN		O	TX08	2010	6/28/2010	8147971
HONORABLE	BRADY	ROBERT A.		A	PA01	2010	6/20/2012	8206426
HONORABLE	BRADY	ROBERT A.		O	PA01	2010	5/17/2010	8147111
HONORABLE	BRALEY	BRUCE L.		O	IA01	2010	5/17/2010	8147112
HONORABLE	BRIGHT	BOBBY		A	AL02	2010	12/7/2010	8200053
HONORABLE	BRIGHT	BOBBY		O	AL02	2010	5/13/2010	8147113
HONORABLE	BROOKS	MO		A	AL05	2010	7/13/2011	8203335
HONORABLE	BROUN	PAUL C.		A	GA10	2010	1/2/2014	8213739
HONORABLE	BROUN	PAUL C.		O	GA10	2010	5/13/2010	8147114
HONORABLE	BROWN	CORRINE		O	FL03	2010	5/17/2010	8147115
